match_id,inning,batting_team,bowling_team,over,ball,batsman,non_striker,bowler,batsman_runs,extra_runs,total_runs,extras_type,is_wicket,dismissal_kind
1,1,Rajasthan Royals,Kolkata Knight Riders,0,1,Yashasvi Jaiswal,Sanju Samson,Varun Chakravarthy,6,0,6,,0,
1,1,Rajasthan Royals,Kolkata Knight Riders,0,2,Yashasvi Jaiswal,Sanju Samson,Varun Chakravarthy,0,0,0,,0,
1,1,Rajasthan Royals,Kolkata Knight Riders,0,3,Yashasvi Jaiswal,Sanju Samson,Varun Chakravarthy,0,0,0,,0,
1,1,Rajasthan Royals,Kolkata Knight Riders,0,4,Yashasvi Jaiswal,Sanju Samson,Varun Chakravarthy,1,0,1,,0,
1,1,Rajasthan Royals,Kolkata Knight Riders,0,5,Yashasvi Jaiswal,Sanju Samson,Varun Chakravarthy,1,0,1,,0,
1,1,Rajasthan Royals,Kolkata Knight Riders,0,6,Yashasvi Jaiswal,Sanju Samson,Varun Chakravarthy,3,0,3,,0,
1,1,Rajasthan Royals,Kolkata Knight Riders,1,1,Yashasvi Jaiswal,Sanju Samson,Harshit Rana,0,0,0,,0,
1,1,Rajasthan Royals,Kolkata Knight Riders,1,2,Yashasvi Jaiswal,Sanju Samson,Harshit Rana,0,0,0,,1,caught
1,1,Rajasthan Royals,Kolkata Knight Riders,1,3,Sanju Samson,Shimron Hetmyer,Harshit Rana,0,5,5,byes,1,stumped
1,1,Rajasthan Royals,Kolkata Knight Riders,1,4,Shimron Hetmyer,Rovman Powell,Harshit Rana,0,0,0,,1,run out
1,1,Rajasthan Royals,Kolkata Knight Riders,1,5,Rovman Powell,Kunal Rathore,Harshit Rana,0,0,0,,0,
1,1,Rajasthan Royals,Kolkata Knight Riders,1,6,Rovman Powell,Kunal Rathore,Harshit Rana,0,0,0,,0,
1,1,Rajasthan Royals,Kolkata Knight Riders,2,1,Rovman Powell,Kunal Rathore,Anrich Nortje,0,0,0,,1,caught
1,1,Rajasthan Royals,Kolkata Knight Riders,2,2,Kunal Rathore,Riyan Parag,Anrich Nortje,0,4,4,byes,0,
1,1,Rajasthan Royals,Kolkata Knight Riders,2,3,Kunal Rathore,Riyan Parag,Anrich Nortje,3,0,3,,0,
1,1,Rajasthan Royals,Kolkata Knight Riders,2,4,Kunal Rathore,Riyan Parag,Anrich Nortje,0,0,0,,0,
1,1,Rajasthan Royals,Kolkata Knight Riders,2,5,Kunal Rathore,Riyan Parag,Anrich Nortje,4,0,4,,0,
1,1,Rajasthan Royals,Kolkata Knight Riders,2,6,Kunal Rathore,Riyan Parag,Anrich Nortje,4,0,4,,0,
1,1,Rajasthan Royals,Kolkata Knight Riders,3,1,Kunal Rathore,Riyan Parag,Vaibhav Arora,0,0,0,,0,
1,1,Rajasthan Royals,Kolkata Knight Riders,3,2,Kunal Rathore,Riyan Parag,Vaibhav Arora,0,0,0,,1,run out
1,1,Rajasthan Royals,Kolkata Knight Riders,3,3,Riyan Parag,Dhruv Jurel,Vaibhav Arora,0,0,0,,0,
1,1,Rajasthan Royals,Kolkata Knight Riders,3,4,Riyan Parag,Dhruv Jurel,Vaibhav Arora,4,0,4,,0,
1,1,Rajasthan Royals,Kolkata Knight Riders,3,5,Riyan Parag,Dhruv Jurel,Vaibhav Arora,0,0,0,,0,
1,1,Rajasthan Royals,Kolkata Knight Riders,3,6,Riyan Parag,Dhruv Jurel,Vaibhav Arora,0,0,0,,1,run out
1,1,Rajasthan Royals,Kolkata Knight Riders,4,1,Dhruv Jurel,Nitish Kumar Reddy,Anrich Nortje,0,0,0,,0,
1,1,Rajasthan Royals,Kolkata Knight Riders,4,2,Dhruv Jurel,Nitish Kumar Reddy,Anrich Nortje,0,0,0,,0,
1,1,Rajasthan Royals,Kolkata Knight Riders,4,3,Dhruv Jurel,Nitish Kumar Reddy,Anrich Nortje,0,0,0,,0,
1,1,Rajasthan Royals,Kolkata Knight Riders,4,4,Dhruv Jurel,Nitish Kumar Reddy,Anrich Nortje,1,0,1,,0,
1,1,Rajasthan Royals,Kolkata Knight Riders,4,5,Dhruv Jurel,Nitish Kumar Reddy,Anrich Nortje,0,0,0,,0,
1,1,Rajasthan Royals,Kolkata Knight Riders,4,6,Dhruv Jurel,Nitish Kumar Reddy,Anrich Nortje,0,0,0,,0,
1,1,Rajasthan Royals,Kolkata Knight Riders,5,1,Dhruv Jurel,Nitish Kumar Reddy,Mitchell Starc,0,0,0,,1,caught
