match_id,season,team1,team2,venue,team1_recent_form,team2_recent_form,form_diff,team1_overall_wr,team2_overall_wr,overall_wr_diff,h2h_team1_pct,h2h_matches,team1_venue_wr,team2_venue_wr,venue_avg_score,team1_avg_score,team2_avg_score,team1_avg_sr,team2_avg_sr,batting_score_diff,team1_avg_conceded,team2_avg_conceded,team1_avg_wickets,team2_avg_wickets,bowling_economy_diff,toss_won_by_team1,chose_bat,target
1,2008,Rajasthan Royals,Kolkata Knight Riders,"M. Chinnaswamy Stadium, Bengaluru",0.5,0.5,0.0,0.5,0.5,0.0,0.5,0,0.5,0.5,160.0,160.0,160.0,130.0,130.0,0.0,160.0,160.0,6.0,6.0,0.0,1,1,0
2,2008,Kolkata Knight Riders,Mumbai Indians,"Narendra Modi Stadium, Ahmedabad",1.0,0.5,0.5,1.0,0.5,0.5,0.5,0,0.5,0.5,160.0,180.0,160.0,150.0,130.0,20.0,117.0,160.0,10.0,6.0,1.887323943661972,0,1,1
3,2008,Punjab Kings,Delhi Capitals,"Arun Jaitley Stadium, Delhi",0.5,0.5,0.0,0.5,0.5,0.0,0.5,0,0.5,0.5,160.0,160.0,160.0,130.0,130.0,0.0,160.0,160.0,6.0,6.0,0.0,1,0,1
4,2008,Rajasthan Royals,Mumbai Indians,"Brabourne Stadium, Mumbai",0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,0.5,0.5,160.0,117.0,179.0,164.7887323943662,158.4070796460177,-62.0,180.0,147.0,8.0,10.0,-0.9101123595505616,1,0,1
8,2008,Delhi Capitals,Mumbai Indians,"M. Chinnaswamy Stadium, Bengaluru",0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,0.5,0.5,117.0,133.0,189.0,149.43820224719101,167.2566371681416,-56.0,132.0,155.0,10.0,10.0,-1.5044277360066847,0,0,1
10,2008,Punjab Kings,Sunrisers Hyderabad,"Rajiv Gandhi Intl. Cricket Stadium, Hyderabad",1.0,0.5,0.5,1.0,0.5,0.5,0.5,0,0.5,0.5,160.0,132.0,160.0,138.94736842105263,130.0,-28.0,133.0,160.0,10.0,6.0,0.9662921348314608,1,0,1
6,2008,Rajasthan Royals,Kochi Tuskers Kerala,"DY Patil Stadium, Mumbai",0.5,0.5,0.0,0.5,0.5,0.0,0.5,0,0.5,0.5,160.0,140.0,160.0,163.74269005847952,130.0,-20.0,189.5,160.0,9.0,6.0,1.7596566523605137,1,0,1
11,2008,Royal Challengers Bengaluru,Punjab Kings,"Ekana Cricket Stadium, Lucknow",0.5,1.0,-0.5,0.5,1.0,-0.5,0.5,0,0.5,0.5,160.0,160.0,101.5,130.0,142.95774647887325,58.5,160.0,115.0,6.0,10.0,-0.625,0,0,0
5,2008,Kolkata Knight Riders,Chennai Super Kings,"Wankhede Stadium, Mumbai",1.0,0.5,0.5,1.0,0.5,0.5,0.5,0,0.5,0.5,160.0,163.5,160.0,156.45933014354068,130.0,3.5,148.0,160.0,10.0,6.0,1.6521739130434785,1,0,0
7,2008,Sunrisers Hyderabad,Kolkata Knight Riders,"Eden Gardens, Kolkata",0.0,1.0,-1.0,0.0,1.0,-1.0,0.5,0,0.5,0.5,160.0,97.0,163.5,136.61971830985914,156.45933014354068,-66.5,71.0,148.0,10.0,10.0,-0.5883441258094351,0,0,0
13,2008,Sunrisers Hyderabad,Royal Challengers Bengaluru,"Narendra Modi Stadium, Ahmedabad",0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,0.5,0.5,147.0,97.0,131.0,136.61971830985914,187.14285714285714,-34.0,71.0,166.0,10.0,10.0,0.4776228906823192,0,1,1
14,2008,Delhi Capitals,Kochi Tuskers Kerala,"Wankhede Stadium, Mumbai",0.5,0.0,0.5,0.5,0.0,0.5,0.5,0,0.5,0.5,78.0,99.0,83.0,143.47826086956522,122.05882352941177,16.0,135.0,76.0,10.0,10.0,0.7567567567567579,0,0,1
15,2008,Chennai Super Kings,Kochi Tuskers Kerala,"Holkar Cricket Stadium, Indore",1.0,0.0,1.0,1.0,0.0,1.0,0.5,0,0.5,0.5,160.0,62.0,77.0,144.1860465116279,123.2,-15.0,78.0,88.0,10.0,10.0,-2.145132743362833,1,1,1
17,2008,Chennai Super Kings,Kolkata Knight Riders,"M. Chinnaswamy Stadium, Bengaluru",1.0,0.75,0.25,1.0,0.75,0.25,0.5,1,0.5,1.0,91.0,113.5,126.25,155.4794520547945,141.45658263305322,-12.75,99.5,119.75,10.0,10.0,-1.0395021645021654,0,1,0
18,2008,Chennai Super Kings,Mumbai Indians,"M. Chinnaswamy Stadium, Bengaluru",0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.5,0,0.0,0.0,121.0,136.0,172.0,153.38345864661653,163.29113924050634,-36.0,108.33333333333333,125.0,10.0,10.0,-0.9384976698102818,1,0,1
22,2008,Royal Challengers Bengaluru,Rajasthan Royals,"Punjab Cricket Association Stadium, Mohali",0.0,0.6666666666666666,-0.6666666666666666,0.0,0.6666666666666666,-0.6666666666666666,0.5,0,0.5,0.5,160.0,106.0,118.66666666666667,163.07692307692307,156.140350877193,-12.666666666666671,130.5,154.0,10.0,9.333333333333334,-1.3002114164904865,1,0,0
23,2008,Sunrisers Hyderabad,Mumbai Indians,"M. A. Chidambaram Stadium, Chennai",0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.5,0,0.5,0.5,160.0,104.33333333333333,143.5,133.76068376068375,156.4032697547684,-39.16666666666667,84.0,121.0,10.0,10.0,-1.379725841936029,1,0,0
9,2008,Kolkata Knight Riders,Kochi Tuskers Kerala,"Sawai Mansingh Stadium, Jaipur",0.8,0.0,0.8,0.8,0.0,0.8,0.5,0,0.5,0.5,160.0,126.2,91.66666666666667,142.7601809954751,134.80392156862746,34.53333333333333,132.0,113.66666666666667,9.4,10.0,-0.21988577362409067,0,1,1
29,2008,Kochi Tuskers Kerala,Delhi Capitals,"Maharashtra Cricket Association Stadium, Pune",0.0,0.6666666666666666,-0.6666666666666666,0.0,0.6666666666666666,-0.6666666666666666,0.5,1,0.5,0.5,160.0,101.0,99.33333333333333,137.88395904436862,153.60824742268042,1.6666666666666714,103.5,113.66666666666667,10.0,10.0,0.41688311688311863,1,0,0
33,2008,Rajasthan Royals,Kochi Tuskers Kerala,"Arun Jaitley Stadium, Delhi",0.75,0.0,0.75,0.75,0.0,0.75,0.5,1,0.5,0.5,132.0,139.25,108.8,162.86549707602342,142.40837696335078,30.450000000000003,150.75,118.6,9.5,10.0,-0.07278173525024734,1,0,0
12,2008,Chennai Super Kings,Rajasthan Royals,"Himachal Pradesh Cricket Association Stadium, Dharamsala",0.75,0.6,0.15000000000000002,0.75,0.6,0.15000000000000002,0.5,0,0.5,0.5,160.0,129.25,124.8,152.50737463126845,155.61097256857855,4.450000000000003,95.75,135.2,10.0,9.6,-0.49671980380134784,0,1,1
35,2008,Delhi Capitals,Royal Challengers Bengaluru,"Sawai Mansingh Stadium, Jaipur",0.75,0.0,0.75,0.75,0.0,0.75,0.5,0,0.5,0.5,73.0,119.25,117.66666666666667,153.37620578778134,149.5762711864407,1.5833333333333286,120.25,154.0,10.0,10.0,-0.16558215198698534,1,0,1
36,2008,Kolkata Knight Riders,Sunrisers Hyderabad,"DY Patil Stadium, Mumbai",0.8,0.25,0.55,0.8333333333333334,0.25,0.5833333333333334,0.5,1,0.5,0.5,76.0,117.33333333333333,114.75,139.1304347826087,137.4251497005988,2.5833333333333286,131.5,105.25,9.5,10.0,0.13524454269134978,0,0,0
