match_id,season,date,team1,team2,venue,toss_winner,toss_decision,winner,win_by_runs,win_by_wickets,player_of_match,city
1,2008,2008-03-20,Rajasthan Royals,Kolkata Knight Riders,"M. Chinnaswamy Stadium, Bengaluru",Rajasthan Royals,bat,Kolkata Knight Riders,12,0,Rinku Singh,Bengaluru
2,2008,2008-03-21,Kolkata Knight Riders,Mumbai Indians,"Narendra Modi Stadium, Ahmedabad",Mumbai Indians,bat,Kolkata Knight Riders,1,0,Angkrish Raghuvanshi,Ahmedabad
3,2008,2008-03-22,Punjab Kings,Delhi Capitals,"Arun Jaitley Stadium, Delhi",Punjab Kings,field,Punjab Kings,46,0,Glenn Maxwell,Delhi
4,2008,2008-03-26,Rajasthan Royals,Mumbai Indians,"Brabourne Stadium, Mumbai",Rajasthan Royals,field,Rajasthan Royals,81,0,Riyan Parag,Mumbai
5,2008,2008-04-01,Kolkata Knight Riders,Chennai Super Kings,"Wankhede Stadium, Mumbai",Kolkata Knight Riders,field,Chennai Super Kings,0,2,Shivam Dube,Mumbai
6,2008,2008-03-30,Rajasthan Royals,Kochi Tuskers Kerala,"DY Patil Stadium, Mumbai",Rajasthan Royals,field,Rajasthan Royals,0,2,Shimron Hetmyer,Mumbai
7,2008,2008-04-01,Deccan Chargers,Kolkata Knight Riders,"Eden Gardens, Kolkata",Kolkata Knight Riders,field,Kolkata Knight Riders,0,9,Rinku Singh,Kolkata
8,2008,2008-03-27,Delhi Capitals,Mumbai Indians,"M. Chinnaswamy Stadium, Bengaluru",Mumbai Indians,field,Delhi Capitals,73,0,Axar Patel,Bengaluru
9,2008,2008-04-13,Kolkata Knight Riders,Kochi Tuskers Kerala,"Sawai Mansingh Stadium, Jaipur",Kochi Tuskers Kerala,bat,Kolkata Knight Riders,72,0,Manish Pandey,Jaipur
10,2008,2008-03-29,Punjab Kings,Deccan Chargers,"Rajiv Gandhi Intl. Cricket Stadium, Hyderabad",Punjab Kings,field,Punjab Kings,15,0,Josh Inglis,Hyderabad
11,2008,2008-03-30,Royal Challengers Bengaluru,Punjab Kings,"Ekana Cricket Stadium, Lucknow",Punjab Kings,field,Punjab Kings,33,0,Shreyas Iyer,Lucknow
12,2008,2008-04-22,Chennai Super Kings,Rajasthan Royals,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Rajasthan Royals,bat,Chennai Super Kings,1,0,Anshul Kamboj,Dharamsala
13,2008,2008-04-01,Deccan Chargers,Royal Challengers Bengaluru,"Narendra Modi Stadium, Ahmedabad",Royal Challengers Bengaluru,bat,Deccan Chargers,0,9,Shubman Gill,Ahmedabad
14,2008,2008-04-02,Delhi Capitals,Kochi Tuskers Kerala,"Wankhede Stadium, Mumbai",Kochi Tuskers Kerala,field,Delhi Capitals,73,0,Faf du Plessis,Mumbai
15,2008,2008-04-03,Chennai Super Kings,Kochi Tuskers Kerala,"Holkar Cricket Stadium, Indore",Chennai Super Kings,bat,Chennai Super Kings,0,3,Anshul Kamboj,Indore
16,2008,2008-05-04,Deccan Chargers,Punjab Kings,"M. Chinnaswamy Stadium, Bengaluru",Deccan Chargers,field,Deccan Chargers,0,6,Azmatullah Omarzai,Bengaluru
17,2008,2008-04-05,Chennai Super Kings,Kolkata Knight Riders,"M. Chinnaswamy Stadium, Bengaluru",Kolkata Knight Riders,bat,Kolkata Knight Riders,29,0,Ajinkya Rahane,Bengaluru
18,2008,2008-04-06,Chennai Super Kings,Mumbai Indians,"M. Chinnaswamy Stadium, Bengaluru",Chennai Super Kings,field,Chennai Super Kings,63,0,Shaik Rasheed,Bengaluru
19,2008,2008-05-13,Deccan Chargers,Royal Challengers Bengaluru,"Brabourne Stadium, Mumbai",Royal Challengers Bengaluru,bat,Royal Challengers Bengaluru,0,4,Virat Kohli,Mumbai
20,2008,2008-04-27,Chennai Super Kings,Punjab Kings,"Rajiv Gandhi Intl. Cricket Stadium, Hyderabad",Punjab Kings,field,Punjab Kings,84,0,Prabhsimran Singh,Hyderabad
21,2008,2008-04-29,Mumbai Indians,Punjab Kings,"Brabourne Stadium, Mumbai",Mumbai Indians,bat,Mumbai Indians,18,0,Tilak Varma,Mumbai
22,2008,2008-04-10,Royal Challengers Bengaluru,Rajasthan Royals,"Punjab Cricket Association Stadium, Mohali",Royal Challengers Bengaluru,field,Rajasthan Royals,0,2,Yashasvi Jaiswal,Mohali
23,2008,2008-04-11,Deccan Chargers,Mumbai Indians,"M. A. Chidambaram Stadium, Chennai",Deccan Chargers,field,Mumbai Indians,52,0,Rohit Sharma,Chennai
24,2008,2008-05-05,Royal Challengers Bengaluru,Punjab Kings,"Wankhede Stadium, Mumbai",Punjab Kings,field,Royal Challengers Bengaluru,0,9,Tim David,Mumbai
25,2008,2008-05-07,Kochi Tuskers Kerala,Royal Challengers Bengaluru,"M. Chinnaswamy Stadium, Bengaluru",Kochi Tuskers Kerala,bat,Royal Challengers Bengaluru,41,0,Virat Kohli,Bengaluru
26,2008,2008-06-03,Mumbai Indians,Kochi Tuskers Kerala,"Narendra Modi Stadium, Ahmedabad",Mumbai Indians,bat,Kochi Tuskers Kerala,24,0,Rachin Ravindra,Ahmedabad
27,2008,2008-06-06,Kolkata Knight Riders,Punjab Kings,"M. A. Chidambaram Stadium, Chennai",Kolkata Knight Riders,bat,Punjab Kings,75,0,Glenn Maxwell,Chennai
28,2008,2008-06-09,Rajasthan Royals,Kolkata Knight Riders,"DY Patil Stadium, Mumbai",Kolkata Knight Riders,bat,Rajasthan Royals,83,0,Kunal Rathore,Mumbai
29,2008,2008-04-17,Kochi Tuskers Kerala,Delhi Capitals,"Maharashtra Cricket Association Stadium, Pune",Kochi Tuskers Kerala,field,Delhi Capitals,0,2,Faf du Plessis,Pune
30,2008,2008-05-17,Deccan Chargers,Kolkata Knight Riders,"Narendra Modi Stadium, Ahmedabad",Deccan Chargers,field,Kolkata Knight Riders,0,6,Manish Pandey,Ahmedabad
31,2008,2008-06-18,Royal Challengers Bengaluru,Kochi Tuskers Kerala,"Holkar Cricket Stadium, Indore",Kochi Tuskers Kerala,bat,Kochi Tuskers Kerala,0,2,Phil Salt,Indore
32,2008,2008-06-21,Chennai Super Kings,Deccan Chargers,"Brabourne Stadium, Mumbai",Chennai Super Kings,field,Chennai Super Kings,44,0,Shaik Rasheed,Mumbai
33,2008,2008-04-21,Rajasthan Royals,Kochi Tuskers Kerala,"Arun Jaitley Stadium, Delhi",Rajasthan Royals,field,Kochi Tuskers Kerala,43,0,Tim David,Delhi
34,2008,2008-05-25,Rajasthan Royals,Royal Challengers Bengaluru,"Brabourne Stadium, Mumbai",Royal Challengers Bengaluru,bat,Rajasthan Royals,0,3,Yashasvi Jaiswal,Mumbai
35,2008,2008-04-23,Delhi Capitals,Royal Challengers Bengaluru,"Sawai Mansingh Stadium, Jaipur",Delhi Capitals,field,Delhi Capitals,0,1,Axar Patel,Jaipur
36,2008,2008-04-24,Kolkata Knight Riders,Deccan Chargers,"DY Patil Stadium, Mumbai",Deccan Chargers,field,Deccan Chargers,0,4,Krunal Pandya,Mumbai
37,2008,2008-04-25,Royal Challengers Bengaluru,Punjab Kings,"Wankhede Stadium, Mumbai",Punjab Kings,field,Punjab Kings,0,4,Musheer Khan,Mumbai
38,2008,2008-04-26,Royal Challengers Bengaluru,Chennai Super Kings,"Sawai Mansingh Stadium, Jaipur",Chennai Super Kings,bat,Royal Challengers Bengaluru,0,6,Phil Salt,Jaipur
